,Symbol,Security,GICS,CIK,marketcap
62,BK,The Bank of New York Mellon,Financials,0001390777,37385969664
63,BAX,Baxter International Inc.,Health Care,0000010456,39241531392
64,BDX,Becton Dickinson,Health Care,0000010795,70068543488
65,BRK-B,Berkshire Hathaway,Financials,0001067983,566408249344
66,BBY,Best Buy Co. Inc.,Consumer Discretionary,0000764478,25985130496
67,BIO,Bio-Rad Laboratories,Health Care,0000012208,17526056960
68,BIIB,Biogen Inc.,Health Care,0000875045,41569447936
69,BLK,BlackRock,Financials,0001364742,105934159872
71,BKNG,Booking Holdings Inc,Consumer Discretionary,0001075531,95379963904
72,BWA,BorgWarner,Consumer Discretionary,0000908255,10755944448
74,BSX,Boston Scientific,Health Care,0000885725,54921011200
75,BMY,Bristol-Myers Squibb,Health Care,0000014272,137408643072
76,AVGO,Broadcom Inc.,Information Technology,0001730168,191813140480
77,BR,Broadridge Financial Solutions,Information Technology,0001383312,16500200448
81,CDNS,Cadence Design Systems,Information Technology,0000813672,39360442368
83,COF,Capital One Financial,Financials,0000927628,55167209472
84,CAH,Cardinal Health Inc.,Health Care,0000721371,15129775104
85,KMX,Carmax Inc,Consumer Discretionary,0001170010,19425273856
86,CCL,Carnival Corp.,Consumer Discretionary,0000815097,30943598592
88,CTLT,Catalent,Health Care,0001596783,19356512256
90,CBOE,Cboe Global Markets,Financials,0001374310,10609501184
92,CDW,CDW,Information Technology,0001402057,22433386496
94,CNC,Centene Corporation,Health Care,0001071739,34046455808
96,CERN,Cerner,Health Care,0000804753,21177167872
98,SCHW,Charles Schwab Corporation,Financials,0000316709,116178026496
99,CHTR,Charter Communications,Communication Services,0001091667,118838468608
101,CMG,Chipotle Mexican Grill,Consumer Discretionary,0001058090,40583790592
102,CB,Chubb Limited,Financials,0000896159,73383084032
104,CI,Cigna,Health Care,0001739940,73584852992
105,CINF,Cincinnati Financial,Financials,0000020286,15746989056
107,CSCO,Cisco Systems,Information Technology,0000858877,189431709696
108,C,Citigroup Inc.,Financials,0000831001,137168740352
109,CFG,Citizens Financial Group,Financials,0000759944,18466603008
110,CTXS,Citrix Systems,Information Technology,0000877890,16425531392
112,CME,CME Group Inc.,Financials,0001156375,71690502144
115,CTSH,Cognizant Technology Solutions,Information Technology,0001058290,38989520896
117,CMCSA,Comcast Corp.,Communication Services,0001166691,241492410368
118,CMA,Comerica Inc.,Financials,0000028412,9485376512
123,COO,The Cooper Companies,Health Care,0000711404,18975625216
125,GLW,Corning Inc.,Information Technology,0000024741,29382393856
131,CVS,CVS Health,Health Care,0000064803,89342271488
132,DHI,D. R. Horton,Consumer Discretionary,0000882184,27957774336
133,DHR,Danaher Corp.,Health Care,0000313616,156449865728
134,DRI,Darden Restaurants,Consumer Discretionary,0000940944,17897945088
135,DVA,DaVita Inc.,Health Care,0000927066,11118893056
138,XRAY,Dentsply Sirona,Health Care,0000818479,11598713856
140,DXCM,DexCom,Health Care,0001093557,38257446912
143,DFS,Discover Financial Services,Financials,0001393612,28850515968
144,DISCA,"Discovery, Inc. (Series A)",Communication Services,0001437107,23308965888
145,DISCK,"Discovery, Inc. (Series C)",Communication Services,0001437107,23308963840
146,DISH,Dish Network,Communication Services,0001001082,16579616768
147,DG,Dollar General,Consumer Discretionary,0000029534,46302740480
148,DLTR,Dollar Tree,Consumer Discretionary,0000935703,23095853056
150,DPZ,Domino's Pizza,Consumer Discretionary,0001286681,13652459520
157,DXC,DXC Technology,Information Technology,0001688568,6420860416
160,EBAY,eBay Inc.,Consumer Discretionary,0001065088,38390763520
163,EW,Edwards Lifesciences,Health Care,0001099800,51897524224
164,EA,Electronic Arts,Communication Services,0000712515,38533255168
166,ENPH,Enphase Energy,Information Technology,0001463101,22715437056
174,ETSY,Etsy,Consumer Discretionary,0001370637,27774064640
177,RE,Everest Re Group Ltd.,Financials,0001095073,9668531200
179,EXPE,Expedia Group,Consumer Discretionary,0001324424,23162263552
183,FFIV,F5 Networks,Information Technology,0001048695,11712418816
184,FB,"Facebook, Inc.",Communication Services,0001326801,733616734208
188,FIS,Fidelity National Information Services,Information Technology,0001136893,85715804160
189,FITB,Fifth Third Bancorp,Financials,0000035527,24725643264
191,FRC,First Republic Bank,Financials,0001132979,28371431424
192,FISV,Fiserv Inc,Information Technology,0000798354,77138698240
193,FLT,FleetCor Technologies Inc,Information Technology,0001175454,23201474560
194,FLIR,FLIR Systems,Information Technology,0000354908,7003570176
197,F,Ford Motor Company,Consumer Discretionary,0000037996,46550671360
198,FTNT,Fortinet,Information Technology,0001262039,27554803712
201,FOXA,Fox Corporation (Class A),Communication Services,0001754301,19317436416
202,FOX,Fox Corporation (Class B),Communication Services,0001754301,19317458944
203,BEN,Franklin Resources,Financials,0000038777,13226422272
205,GPS,Gap Inc.,Consumer Discretionary,0000039911,9332023296
206,GRMN,Garmin Ltd.,Consumer Discretionary,0001121788,23758635008
207,IT,Gartner Inc,Information Technology,0000749251,15884697600
211,GM,General Motors,Consumer Discretionary,0001467858,73961914368
212,GPC,Genuine Parts,Consumer Discretionary,0000040987,15212960768
213,GILD,Gilead Sciences,Health Care,0000882095,76966739968
214,GL,Globe Life Inc.,Financials,0000320335,9775430656
215,GPN,Global Payments Inc.,Information Technology,0001123360,58455162880
216,GS,Goldman Sachs Group,Financials,0000886982,110474264576
219,HBI,Hanesbrands Inc,Consumer Discretionary,0001359841,6170360320
220,HIG,Hartford Financial Svc.Gp.,Financials,0000874766,18122383360
221,HAS,Hasbro Inc.,Consumer Discretionary,0000046080,12871256064
222,HCA,HCA Healthcare,Health Care,0000860730,58476097536
224,HSIC,Henry Schein,Health Care,0001000228,8811398144
227,HPE,Hewlett Packard Enterprise,Information Technology,0001645590,18833360896
228,HLT,Hilton Worldwide Holdings Inc,Consumer Discretionary,0001585689,34334558208
230,HOLX,Hologic,Health Care,0000859737,18574852096
231,HD,Home Depot,Consumer Discretionary,0000354950,278128852992
236,HPQ,HP Inc.,Information Technology,0000047217,36113997824
237,HUM,Humana Inc.,Health Care,0000049071,48922456064
238,HBAN,Huntington Bancshares,Financials,0000049196,15604615168
241,IDXX,Idexx Laboratories,Health Care,0000874716,44436090880
244,ILMN,Illumina Inc,Health Care,0001110803,64109920256
245,INCY,Incyte,Health Care,0000879169,17292929024
247,INTC,Intel Corp.,Information Technology,0000050863,246949134336
248,ICE,Intercontinental Exchange,Financials,0001571949,61961900032
249,IBM,International Business Machines,Information Technology,0000051143,106275135488
251,IPG,Interpublic Group,Communication Services,0000051644,10204510208
253,INTU,Intuit Inc.,Information Technology,0000896878,106835943424
254,ISRG,Intuitive Surgical Inc.,Health Care,0001035267,86734618624
255,IVZ,Invesco Ltd.,Financials,0000914208,10292393984
256,IPGP,IPG Photonics Corp.,Information Technology,0001111928,12170864640
257,IQV,IQVIA Holdings Inc.,Health Care,0001478242,36877062144
259,JKHY,Jack Henry & Associates,Information Technology,0000779152,11292913664
263,JNJ,Johnson & Johnson,Health Care,0000200406,416540655616
265,JPM,JPMorgan Chase & Co.,Financials,0000019617,449090715648
266,JNPR,Juniper Networks,Information Technology,0001043604,7639844352
269,KEY,KeyCorp,Financials,0000091576,19511932928
270,KEYS,Keysight Technologies,Information Technology,0001601046,26334748672
274,KLAC,KLA Corporation,Information Technology,0000319201,47952764928
277,LB,L Brands Inc.,Consumer Discretionary,0000701985,15201437696
279,LH,Laboratory Corp. of America Holding,Health Care,0000920148,23391225856
280,LRCX,Lam Research,Information Technology,0000707549,81055989760
282,LVS,Las Vegas Sands,Consumer Discretionary,0001300514,47816572928
283,LEG,Leggett & Platt,Consumer Discretionary,0000058492,5754347520
284,LDOS,Leidos Holdings,Information Technology,0001336920,12550612992
285,LEN,Lennar Corp.,Consumer Discretionary,0000920760,25263951872
286,LLY,Lilly (Eli) & Co.,Health Care,0000059478,196371906560
287,LNC,Lincoln National,Financials,0000059558,10916651008
289,LYV,Live Nation Entertainment,Communication Services,0001335258,18964234240
290,LKQ,LKQ Corporation,Consumer Discretionary,0001065696,11956952064
292,L,Loews Corp.,Financials,0000060086,12767517696
293,LOW,Lowe's Cos.,Consumer Discretionary,0000060667,116777246720
294,LUMN,Lumen Technologies,Communication Services,0000018926,13483727872
296,MTB,M&T Bank,Financials,0000036270,19416469504
299,MKTX,MarketAxess,Financials,0001278021,21123440640
300,MAR,Marriott International,Consumer Discretionary,0001048286,48035987456
301,MMC,Marsh & McLennan,Financials,0000062709,58553307136
304,MA,Mastercard Inc.,Information Technology,0001141391,351501156352
306,MXIM,Maxim Integrated Products,Information Technology,0000743316,24973379584
307,MCD,McDonald's Corp.,Consumer Discretionary,0000063908,153692209152
308,MCK,McKesson Corp.,Health Care,0000927653,26981992448
309,MDT,Medtronic plc,Health Care,0001613103,157613555712
310,MRK,Merck & Co.,Health Care,0000310158,183730798592
311,MET,MetLife Inc.,Financials,0001099219,50941378560
312,MTD,Mettler Toledo,Health Care,0001037646,26124498944
313,MGM,MGM Resorts International,Consumer Discretionary,0000789570,18665955328
314,MCHP,Microchip Technology,Information Technology,0000827054,41097461760
315,MU,Micron Technology,Information Technology,0000723125,102391857152
316,MSFT,Microsoft Corp.,Information Technology,0000789019,1752661098496
318,MHK,Mohawk Industries,Consumer Discretionary,0000851968,12288918528
321,MPWR,Monolithic Power Systems,Information Technology,0001280452,16953396224
323,MCO,Moody's Corp,Financials,0001059556,51431923712
324,MS,Morgan Stanley,Financials,0000895421,139073208320
326,MSI,Motorola Solutions Inc.,Information Technology,0000068505,29661032448
327,MSCI,MSCI Inc,Financials,0001408198,34228822016
328,NDAQ,"Nasdaq, Inc.",Financials,0001120193,22789638144
329,NTAP,NetApp,Information Technology,0001002047,13983899648
330,NFLX,Netflix Inc.,Communication Services,0001065280,238653964288
331,NWL,Newell Brands,Consumer Discretionary,0000814453,9837981696
333,NWSA,News Corp (Class A),Communication Services,0001564708,13746649088
334,NWS,News Corp (Class B),Communication Services,0001564708,13746659328
337,NKE,"Nike, Inc.",Consumer Discretionary,0000320187,212479311872
340,NTRS,Northern Trust Corp.,Financials,0000073124,19816910848
342,NLOK,NortonLifeLock,Information Technology,0000849399,11352888320
343,NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,0001513761,9330199552
347,NVDA,Nvidia Corporation,Information Technology,0001045810,339571015680
348,NVR,"NVR, Inc.",Consumer Discretionary,0000906163,16568401920
349,ORLY,O'Reilly Automotive,Consumer Discretionary,0000898173,31502366720
352,OMC,Omnicom Group,Communication Services,0000029989,14777913344
354,ORCL,Oracle Corp.,Information Technology,0001341439,189919379456
359,PAYX,Paychex Inc.,Information Technology,0000723531,32842665984
360,PAYC,Paycom,Information Technology,0001590955,22524944384
361,PYPL,PayPal,Information Technology,0001633917,304331128832
363,PBCT,People's United Financial,Financials,0001378946,7618759680
365,PKI,PerkinElmer,Health Care,0000031791,14118801408
366,PRGO,Perrigo,Health Care,0001585364,5508776960
367,PFE,Pfizer Inc.,Health Care,0000078003,186150830080
372,PNC,PNC Financial Services,Financials,0000713676,71384637440
373,POOL,Pool Corporation,Consumer Discretionary,0000945841,13443894272
376,PFG,Principal Financial Group,Financials,0001126328,15424501760
378,PGR,Progressive Corp.,Financials,0000080661,50340909056
380,PRU,Prudential Financial,Financials,0001137774,34427838464
383,PHM,PulteGroup,Consumer Discretionary,0000822416,11994478592
384,PVH,PVH Corp.,Consumer Discretionary,0000078239,7107175936
385,QRVO,Qorvo,Information Technology,0001604778,19790442496
387,QCOM,Qualcomm,Information Technology,0000804328,154711834624
388,DGX,Quest Diagnostics,Health Care,0001022079,15426063360
389,RL,Ralph Lauren Corporation,Consumer Discretionary,0001037038,8560702464
390,RJF,Raymond James Financial,Financials,0000720005,16076383232
394,REGN,Regeneron Pharmaceuticals,Health Care,0000872589,48270467072
395,RF,Regions Financial Corp.,Financials,0001281761,19818702848
397,RMD,ResMed,Health Care,0000943819,28051222528
402,ROST,Ross Stores,Consumer Discretionary,0000745732,41577844736
403,RCL,Royal Caribbean Group,Consumer Discretionary,0000884887,22142203904
404,SPGI,S&P Global Inc.,Financials,0000064040,79276949504
405,CRM,Salesforce.com,Information Technology,0001108524,198689619968
408,STX,Seagate Technology,Information Technology,0001137789,17332224000
411,NOW,ServiceNow,Information Technology,0001373715,104611512320
414,SWKS,Skyworks Solutions,Information Technology,0000004127,29322518528
420,SBUX,Starbucks Corp.,Consumer Discretionary,0000829224,127183716352
421,STT,State Street Corp.,Financials,0000093751,25599465472
422,STE,Steris,Health Care,0001757898,14919653376
423,SYK,Stryker Corp.,Health Care,0000310764,91300216832
424,SIVB,SVB Financial,Financials,0000719739,26222370816
425,SYF,Synchrony Financial,Financials,0001601712,22584555520
426,SNPS,Synopsys Inc.,Information Technology,0000883241,37363384320
428,TMUS,T-Mobile US,Communication Services,0001283699,149098725376
429,TROW,T. Rowe Price Group,Financials,0001113169,36959162368
430,TTWO,Take-Two Interactive,Communication Services,0000946581,21245734912
431,TPR,"Tapestry, Inc.",Consumer Discretionary,0001116132,11708093440
432,TGT,Target Corp.,Consumer Discretionary,0000027419,91861794816
433,TEL,TE Connectivity Ltd.,Information Technology,0001385157,43025494016
435,TFX,Teleflex,Health Care,0000096943,18539134976
436,TER,Teradyne,Information Technology,0000097210,21438644224
437,TSLA,"Tesla, Inc.",Consumer Discretionary,0001318605,648381399040
438,TXN,Texas Instruments,Information Technology,0000097476,158529568768
440,TMO,Thermo Fisher Scientific,Health Care,0000097745,177238343680
441,TJX,TJX Companies Inc.,Consumer Discretionary,0000109198,79229575168
442,TSCO,Tractor Supply Company,Consumer Discretionary,0000916365,18487367680
445,TRV,The Travelers Companies,Financials,0000086312,36697137152
446,TRMB,Trimble Inc.,Information Technology,0000864749,18548047872
447,TFC,Truist Financial,Financials,0000092230,76736512000
448,TWTR,"Twitter, Inc.",Communication Services,0001418091,61505671168
449,TYL,Tyler Technologies,Information Technology,0000860731,18804054016
452,ULTA,Ulta Beauty,Consumer Discretionary,0001403568,18159620096
453,USB,U.S. Bancorp,Financials,0000036104,75107000320
454,UAA,Under Armour (Class A),Consumer Discretionary,0001336917,9105101824
455,UA,Under Armour (Class C),Consumer Discretionary,0001336917,9105096704
458,UNH,UnitedHealth Group Inc.,Health Care,0000731766,315217313792
461,UHS,Universal Health Services,Health Care,0000352915,10650732544
462,UNM,Unum Group,Financials,0000005513,5394797056
464,VAR,Varian Medical Systems,Health Care,0000203527,16096586752
466,VRSN,Verisign Inc.,Information Technology,0001014473,21943822336
468,VZ,Verizon Communications,Communication Services,0000732712,228831395840
469,VRTX,Vertex Pharmaceuticals Inc,Health Care,0000875320,55254499328
470,VFC,VF Corporation,Consumer Discretionary,0000103379,30996326400
471,VIAC,ViacomCBS,Communication Services,0000813828,39946395648
472,VTRS,Viatris,Health Care,0001792044,18048096256
473,V,Visa Inc.,Information Technology,0001403161,468288077824
474,VNT,Vontier,Information Technology,0001786842,5290805248
477,WRB,W. R. Berkley Corporation,Financials,0000011544,12296507392
481,DIS,The Walt Disney Company,Communication Services,0001744489,343156752384
483,WAT,Waters Corporation,Health Care,0001000697,17065189376
485,WFC,Wells Fargo,Financials,0000072971,149530755072
487,WST,West Pharmaceutical Services,Health Care,0000105770,20797005824
488,WDC,Western Digital,Information Technology,0000106040,20976826368
489,WU,Western Union Co,Information Technology,0001365135,9541608448
492,WHR,Whirlpool Corp.,Consumer Discretionary,0000106640,11971143680
494,WLTW,Willis Towers Watson,Financials,0001140536,28456161280
495,WYNN,Wynn Resorts Ltd,Consumer Discretionary,0001174922,15230095360
497,XRX,Xerox,Information Technology,0001770450,5054875136
498,XLNX,Xilinx,Information Technology,0000743988,31959592960
500,YUM,Yum! Brands Inc,Consumer Discretionary,0001041061,31064694784
501,ZBRA,Zebra Technologies,Information Technology,0000877212,26703222784
502,ZBH,Zimmer Biomet,Health Care,0001136869,33892999168
503,ZION,Zions Bancorp,Financials,0000109380,8731257856
504,ZTS,Zoetis,Health Care,0001555280,73788375040
